what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to read Maven project: 4 problems were encountered while building the effective model for edu.hziee:framework-event:1.0.0-SNAPSHOT\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-lang:jar is missing. @ line 21, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.springframework:spring:jar is missing. @ line 37, column 15\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-serialization:jar is missing. @ line 41, column 15\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-tcp:jar is missing. @ line 45, column 15\r\n for project edu.hziee:framework-event:1.0.0-SNAPSHOT at D:\\public\\framework-parent\\framework-event\\pom.xml",1335227425378
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227427312
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227427437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227443352
error,log,,,"Failed to read Maven project: 4 problems were encountered while building the effective model for edu.hziee:framework-event:1.0.0\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-lang:jar is missing. @ line 20, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.springframework:spring:jar is missing. @ line 36, column 15\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-serialization:jar is missing. @ line 40, column 15\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-tcp:jar is missing. @ line 44, column 15\r\n for project edu.hziee:framework-event:1.0.0 at D:\\public\\framework-parent\\framework-event\\pom.xml",1335227443352
error,log,,,"Failed to read Maven project: 4 problems were encountered while building the effective model for edu.hziee:framework-event:1.0.0\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-lang:jar is missing. @ line 16, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.springframework:spring:jar is missing. @ line 32, column 15\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-serialization:jar is missing. @ line 36, column 15\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-tcp:jar is missing. @ line 40, column 15\r\n for project edu.hziee:framework-event:1.0.0 at D:\\public\\framework-parent\\framework-event\\pom.xml",1335227447206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227447206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335227449265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335227454179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335227456800
