what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281416056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281422621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281431388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281434187
activated,perspective,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.TeamSynchronizingPerspective",1335281434363
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.sync.views.SynchronizeView",1335281434487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281434664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281444203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281445473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281530171
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1335281540765
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335281540883
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335281547016
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335281547129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281559999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281561954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281563803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281565610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281567286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281570486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281572082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281573779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335281578830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281580005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281587355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335281589578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335281590281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281598198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281700890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335281705127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335281705588
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1335281708524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335281715692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281723072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281730360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335281735461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335281736023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281740063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281740422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281742856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335281818690
