what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227771554
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227771601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.closeAll",1335227771632
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227775376
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227775454
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335227781039
error,log,,,"Failed to read Maven project: 8 problems were encountered while building the effective model for edu.hziee:framework-test:1.0.0-SNAPSHOT\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-serialization:jar is missing. @ line 17, column 15\r\n[ERROR] 'dependencies.dependency.version' for edu.hziee:framework-lang:jar is missing. @ line 21, column 15\r\n[ERROR] 'dependencies.dependency.version' for commons-beanutils:commons-beanutils:jar is missing. @ line 25, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.springframework:spring:jar is missing. @ line 29, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.dbunit:dbunit:jar is missing. @ line 33, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.ibatis:ibatis-sqlmap:jar is missing. @ line 37, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.springframework:spring-test:jar is missing. @ line 45, column 15\r\n[ERROR] 'dependencies.dependency.version' for c3p0:c3p0:jar is missing. @ line 49, column 15\r\n for project edu.hziee:framework-test:1.0.0-SNAPSHOT at D:\\public\\framework-parent\\framework-test\\pom.xml",1335227782412
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227785313
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227785734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335227789712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335227792255
error,log,,,"Failed to read Maven project: 6 problems were encountered while building the effective model for edu.hziee:framework-test:1.0.0-SNAPSHOT\r\n[ERROR] 'dependencies.dependency.version' for commons-beanutils:commons-beanutils:jar is missing. @ line 27, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.springframework:spring:jar is missing. @ line 31, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.dbunit:dbunit:jar is missing. @ line 35, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.ibatis:ibatis-sqlmap:jar is missing. @ line 39, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.springframework:spring-test:jar is missing. @ line 47, column 15\r\n[ERROR] 'dependencies.dependency.version' for c3p0:c3p0:jar is missing. @ line 51, column 15\r\n for project edu.hziee:framework-test:1.0.0-SNAPSHOT at D:\\public\\framework-parent\\framework-test\\pom.xml",1335227794174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227794174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227807262
jar,m2e.packaging,org.eclipse.m2e.core,1.0.100,"jar",1335227810382
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1335227810382
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1335227810382
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1335227810382
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1335227810382
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1335227810382
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-surefire-plugin:2.7.1",1335227810382
jar:default-jar:package,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-jar-plugin:2.3.1",1335227810382
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1335227810382
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-deploy-plugin:2.5",1335227810382
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1335227810382
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335227810866
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227816342
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227816607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227824953
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335227827028
error,log,,,"Failed to read Maven project: 5 problems were encountered while building the effective model for edu.hziee:framework-web:1.0.0-SNAPSHOT\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-core:jar is missing. @ line 17, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-jasper:jar is missing. @ line 21, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-logging-juli:jar is missing. @ line 25, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-logging-log4j:jar is missing. @ line 29, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.eclipse.jdt.core.compiler:ecj:jar is missing. @ line 33, column 15\r\n for project edu.hziee:framework-web:1.0.0-SNAPSHOT at D:\\public\\framework-parent\\framework-web\\pom.xml",1335227828853
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227830210
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227830413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227840256
error,log,,,"Failed to read Maven project: 5 problems were encountered while building the effective model for edu.hziee:framework-web:1.0.0-SNAPSHOT\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-core:jar is missing. @ line 16, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-jasper:jar is missing. @ line 20, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-logging-juli:jar is missing. @ line 24, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.apache.tomcat.embed:tomcat-embed-logging-log4j:jar is missing. @ line 28, column 15\r\n[ERROR] 'dependencies.dependency.version' for org.eclipse.jdt.core.compiler:ecj:jar is missing. @ line 32, column 15\r\n for project edu.hziee:framework-web:1.0.0-SNAPSHOT at D:\\public\\framework-parent\\framework-web\\pom.xml",1335227840272
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335227847120
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227850552
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227850818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227862086
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335227863037
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227863037
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227863084
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227863131
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227863162
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227863209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.closeAll",1335227863240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335227864972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335227883551
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227889276
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335227889397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335227895741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335227897207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228215831
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335228215909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228228794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228232304
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1335228232382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228233521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228236594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228265252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228275376
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1335228275610
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1335228275735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1335228275735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1335228275735
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1335228278293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228287591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228287669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228287856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335228292068
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335228292115
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335228303550
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1335228313643
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335228323892
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335228336263
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335228336669
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335228341614
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1335228341614
